sample,time_s,elapsed_s,experiment,command_x_mps,command_y_mps,command_yaw_radps,gait_mode,stair_collision_enabled,slope_collision_enabled,foot,contact,touchdown,grf_x_n,grf_y_n,grf_z_n,grf_norm_n,toe_vx_mps,toe_vy_mps,toe_vz_mps,toe_speed_mps,precontact_vx_mps,precontact_vy_mps,precontact_vz_mps,precontact_speed_mps
12,5.026,0.024,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.3504425997,0.1500723481,-0.7996850841,0.8859051637,,,,
12,5.026,0.024,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-1.008034713,-0.9188917256,-0.4846580152,1.447545985,,,,
12,5.026,0.024,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-2.220174732,0.6235502198,-1.757637924,2.899531305,,,,
13,5.028,0.026,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.626166341,-0.9044484807,-1.451336049,2.359834814,,,,
13,5.028,0.026,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.2616530013,0.1503149215,-0.8015676414,0.8564855822,,,,
13,5.028,0.026,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.8841043787,-0.9854963003,-0.3769436077,1.376564562,,,,
13,5.028,0.026,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-2.107243411,0.7036464054,-1.683169394,2.787230214,,,,
14,5.03,0.028,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.580267201,-0.9515262229,-1.440904157,2.340694634,,,,
14,5.03,0.028,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.1675473909,0.1532616072,-0.792878881,0.8247533985,,,,
14,5.03,0.028,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.7896724995,-1.037829588,-0.3088622214,1.340174907,,,,
14,5.03,0.028,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.980084361,0.7845171263,-1.601347225,2.664678992,,,,
15,5.032,0.03,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.514570575,-0.9999919054,-1.410895036,2.298811136,,,,
15,5.032,0.03,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,-0.07121112162,0.1579590694,-0.7778280545,0.7968930755,,,,
15,5.032,0.03,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.7179833951,-1.079115968,-0.2704667472,1.324063325,,,,
15,5.032,0.03,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.844351532,0.8639979055,-1.51813707,2.540249027,,,,
16,5.034,0.032,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.532669518,-1.002900703,-1.517051662,2.378304315,,,,
16,5.034,0.032,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.1038898188,0.1816322466,-0.7132162734,0.7432770816,,,,
16,5.034,0.032,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.6164887093,-1.088773158,-0.1829316772,1.264495677,,,,
16,5.034,0.032,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.739224348,0.887549481,-1.508266547,2.467288672,,,,
17,5.036,0.034,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.502793765,-1.019850706,-1.565614217,2.397839118,,,,
17,5.036,0.034,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.2641224234,0.2005748443,-0.6618475241,0.7402925556,,,,
17,5.036,0.034,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.5438581574,-1.087589193,-0.1321264669,1.223147314,,,,
17,5.036,0.034,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.610740196,0.9167171946,-1.475754099,2.36911472,,,,
18,5.038,0.036,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.437497204,-1.046125647,-1.574281253,2.374687042,,,,
18,5.038,0.036,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.4104683883,0.2157154667,-0.6217747444,0.7756425035,,,,
18,5.038,0.036,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.4931142272,-1.078685014,-0.1086382073,1.191018581,,,,
18,5.038,0.036,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.466990955,0.9484745202,-1.429975876,2.257542333,,,,
19,5.04,0.038,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.346885814,-1.078167145,-1.556520895,2.323640051,,,,
19,5.04,0.038,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.5440546978,0.2279021181,-0.5910967728,0.8350630422,,,,
19,5.04,0.038,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.4587359537,-1.064432987,-0.1051898889,1.16383898,,,,
19,5.04,0.038,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.314335423,0.9806430178,-1.3776345,2.141731811,,,,
20,5.042,0.04,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.239043788,-1.113334813,-1.52237787,2.256629853,,,,
20,5.042,0.04,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.6658066672,0.2378255026,-0.5683294598,0.9071151319,,,,
20,5.042,0.04,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.4364019424,-1.046607838,-0.1161717502,1.139881791,,,,
20,5.042,0.04,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.157691076,1.011704552,-1.323389059,2.02858407,,,,
21,5.044,0.042,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.275870921,-1.133676582,-1.601650151,2.340588047,,,,
21,5.044,0.042,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.791260596,0.2728157256,-0.5237184797,0.9873210202,,,,
21,5.044,0.042,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.407075033,-1.007783823,-0.08795070282,1.090446533,,,,
21,5.044,0.042,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-1.088171723,0.9788424835,-1.351595543,1.99225019,,,,
22,5.046,0.044,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.267244143,-1.164743003,-1.632261435,2.372090085,,,,
22,5.046,0.044,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.8995778217,0.3017746514,-0.4943000412,1.069878838,,,,
22,5.046,0.044,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.394572048,-0.9641434931,-0.08202910831,1.04498256,,,,
22,5.046,0.044,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.9912639325,0.9545524644,-1.351982168,1.929152761,,,,
23,5.048,0.046,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.225358436,-1.202393943,-1.62960378,2.367036749,,,,
23,5.048,0.046,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,0.9933099412,0.3260002939,-0.4767769688,1.149024416,,,,
23,5.048,0.046,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.3941186522,-0.9177404286,-0.0922512051,1.003039028,,,,
23,5.048,0.046,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.8761015824,0.9356793416,-1.334455183,1.850356844,,,,
24,5.05,0.048,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.159878746,-1.243564801,-1.60528815,2.338529915,,,,
24,5.05,0.048,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,1.074578096,0.3465474059,-0.4685056821,1.222420043,,,,
24,5.05,0.048,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.4020192234,-0.8700743164,-0.1138654137,0.9652015875,,,,
24,5.05,0.048,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.749749889,0.9199501307,-1.306236509,1.764847574,,,,
25,5.052,0.05,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.078409186,-1.286026451,-1.567897216,2.296765571,,,,
25,5.052,0.05,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,1.14513608,0.3642649367,-0.4673719248,1.289365,,,,
25,5.052,0.05,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.4154395948,-0.8222178394,-0.143227413,0.9322801747,,,,
25,5.052,0.05,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.6176105651,0.9057640293,-1.272480321,1.679600385,,,,
26,5.054,0.052,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.121756484,-1.314583881,-1.626128671,2.372922848,,,,
26,5.054,0.052,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,1.203725784,0.3953519932,-0.4657437253,1.349880061,,,,
26,5.054,0.052,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.3937997705,-0.7588458429,-0.1329610288,0.8652189941,,,,
26,5.054,0.052,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.4980976188,0.8509157311,-1.258223901,1.59852626,,,,
27,5.056,0.054,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.123123206,-1.350362909,-1.643534176,2.40542934,,,,
27,5.056,0.054,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,1.252758032,0.4225672327,-0.4708336503,1.403442225,,,,
27,5.056,0.054,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.384549513,-0.6940695741,-0.1392123822,0.8055997698,,,,
27,5.056,0.054,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.3709745092,0.8007651612,-1.235547463,1.518362428,,,,
28,5.058,0.056,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.094088536,-1.390025961,-1.633428248,2.407756163,,,,
28,5.058,0.056,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,1.293704677,0.4467122267,-0.4809708741,1.450708994,,,,
28,5.058,0.056,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.3840740605,-0.6292160777,-0.1572615034,0.7537618569,,,,
28,5.058,0.056,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.2407860695,0.7538370299,-1.208544529,1.44458578,,,,
29,5.06,0.058,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-1.04369999,-1.431160476,-1.60575648,2.390812383,,,,
29,5.06,0.058,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,1.32776044,0.4684225169,-0.4948325907,1.492389605,,,,
29,5.06,0.058,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.3895846387,-0.5652281025,-0.1834735282,0.7105783096,,,,
29,5.06,0.058,baseline — four gait presets,0.5,0,0,0,0,0,RR,0,0,0,0,0,0,-0.1109055039,0.7091054349,-1.180052212,1.381178399,,,,
30,5.062,0.06,baseline — four gait presets,0.5,0,0,0,0,0,FL,0,0,0,0,0,0,-0.9789691096,-1.472060049,-1.567798221,2.362907651,,,,
30,5.062,0.06,baseline — four gait presets,0.5,0,0,0,0,0,FR,0,0,0,0,0,0,1.355893237,0.4881977647,-0.5113781145,1.529147181,,,,
30,5.062,0.06,baseline — four gait presets,0.5,0,0,0,0,0,RL,0,0,0,0,0,0,-0.3989499597,-0.5027556915,-0.2150718171,0.6768901257,,,,
